,Data,NomeTipoSensore,Valore_interesse,Count_sensori,Indice testuale,Indice numerico
325,1996-03-06,Biossido di Azoto,146.8151515151515,33.0,Accettabile,3
326,1996-03-06,Biossido di Zolfo,50.95666666666667,30.0,Molto Buona,5
327,1996-03-06,Ozono,41.623529411764714,17.0,Molto Buona,5
328,1996-03-06,PM10 (SM2005),,,ND,0
329,1996-03-06,Particelle sospese PM2.5,,,ND,0
330,1996-03-07,Biossido di Azoto,142.10000000000005,33.0,Accettabile,3
331,1996-03-07,Biossido di Zolfo,43.85172413793103,29.0,Molto Buona,5
332,1996-03-07,Ozono,62.21176470588236,17.0,Molto Buona,5
333,1996-03-07,PM10 (SM2005),,,ND,0
334,1996-03-07,Particelle sospese PM2.5,,,ND,0
335,1996-03-08,Biossido di Azoto,139.5060606060606,33.0,Accettabile,3
336,1996-03-08,Biossido di Zolfo,28.593333333333344,30.0,Molto Buona,5
337,1996-03-08,Ozono,64.55,16.0,Molto Buona,5
338,1996-03-08,PM10 (SM2005),,,ND,0
339,1996-03-08,Particelle sospese PM2.5,,,ND,0
340,1996-03-09,Biossido di Azoto,130.83750000000003,32.0,Accettabile,3
341,1996-03-09,Biossido di Zolfo,35.57666666666667,30.0,Molto Buona,5
342,1996-03-09,Ozono,81.34375000000001,16.0,Buona,4
343,1996-03-09,PM10 (SM2005),,,ND,0
344,1996-03-09,Particelle sospese PM2.5,,,ND,0
345,1996-03-10,Biossido di Azoto,131.190625,32.0,Accettabile,3
346,1996-03-10,Biossido di Zolfo,26.093333333333337,30.0,Molto Buona,5
347,1996-03-10,Ozono,89.24999999999999,16.0,Buona,4
348,1996-03-10,PM10 (SM2005),,,ND,0
349,1996-03-10,Particelle sospese PM2.5,,,ND,0
350,1996-03-11,Biossido di Azoto,169.9030303030303,33.0,Accettabile,3
351,1996-03-11,Biossido di Zolfo,59.60000000000001,30.0,Molto Buona,5
352,1996-03-11,Ozono,76.92500000000001,16.0,Molto Buona,5
353,1996-03-11,PM10 (SM2005),,,ND,0
354,1996-03-11,Particelle sospese PM2.5,,,ND,0
355,1996-03-12,Biossido di Azoto,122.10909090909091,33.0,Accettabile,3
356,1996-03-12,Biossido di Zolfo,43.64666666666666,30.0,Molto Buona,5
357,1996-03-12,Ozono,75.73529411764707,17.0,Molto Buona,5
358,1996-03-12,PM10 (SM2005),,,ND,0
359,1996-03-12,Particelle sospese PM2.5,,,ND,0
360,1996-03-13,Biossido di Azoto,121.11212121212122,33.0,Accettabile,3
361,1996-03-13,Biossido di Zolfo,40.63666666666666,30.0,Molto Buona,5
362,1996-03-13,Ozono,60.911764705882355,17.0,Molto Buona,5
363,1996-03-13,PM10 (SM2005),,,ND,0
364,1996-03-13,Particelle sospese PM2.5,,,ND,0
365,1996-03-14,Biossido di Azoto,139.0242424242424,33.0,Accettabile,3
366,1996-03-14,Biossido di Zolfo,54.17999999999999,30.0,Molto Buona,5
367,1996-03-14,Ozono,22.77058823529412,17.0,Molto Buona,5
368,1996-03-14,PM10 (SM2005),,,ND,0
369,1996-03-14,Particelle sospese PM2.5,,,ND,0
370,1996-03-15,Biossido di Azoto,160.60909090909095,33.0,Accettabile,3
371,1996-03-15,Biossido di Zolfo,59.516666666666666,30.0,Molto Buona,5
372,1996-03-15,Ozono,71.26470588235294,17.0,Molto Buona,5
373,1996-03-15,PM10 (SM2005),,,ND,0
374,1996-03-15,Particelle sospese PM2.5,,,ND,0
375,1996-03-16,Biossido di Azoto,121.5,33.0,Accettabile,3
376,1996-03-16,Biossido di Zolfo,35.89333333333334,30.0,Molto Buona,5
377,1996-03-16,Ozono,48.276470588235306,17.0,Molto Buona,5
378,1996-03-16,PM10 (SM2005),,,ND,0
379,1996-03-16,Particelle sospese PM2.5,,,ND,0
380,1996-03-17,Biossido di Azoto,99.28787878787878,33.0,Buona,4
381,1996-03-17,Biossido di Zolfo,18.28620689655172,29.0,Molto Buona,5
382,1996-03-17,Ozono,38.42941176470588,17.0,Molto Buona,5
383,1996-03-17,PM10 (SM2005),,,ND,0
384,1996-03-17,Particelle sospese PM2.5,,,ND,0
385,1996-03-18,Biossido di Azoto,129.1212121212121,33.0,Accettabile,3
386,1996-03-18,Biossido di Zolfo,38.75517241379311,29.0,Molto Buona,5
387,1996-03-18,Ozono,41.64117647058823,17.0,Molto Buona,5
388,1996-03-18,PM10 (SM2005),,,ND,0
389,1996-03-18,Particelle sospese PM2.5,,,ND,0
390,1996-03-19,Biossido di Azoto,108.50909090909086,33.0,Accettabile,3
391,1996-03-19,Biossido di Zolfo,35.78666666666666,30.0,Molto Buona,5
392,1996-03-19,Ozono,33.42941176470589,17.0,Molto Buona,5
393,1996-03-19,PM10 (SM2005),,,ND,0
394,1996-03-19,Particelle sospese PM2.5,,,ND,0
395,1996-03-20,Biossido di Azoto,149.48124999999996,32.0,Accettabile,3
396,1996-03-20,Biossido di Zolfo,50.88275862068965,29.0,Molto Buona,5
397,1996-03-20,Ozono,70.10588235294118,17.0,Molto Buona,5
398,1996-03-20,PM10 (SM2005),,,ND,0
399,1996-03-20,Particelle sospese PM2.5,,,ND,0
400,1996-03-21,Biossido di Azoto,162.35312499999998,32.0,Accettabile,3
401,1996-03-21,Biossido di Zolfo,51.9,29.0,Molto Buona,5
402,1996-03-21,Ozono,53.66470588235294,17.0,Molto Buona,5
403,1996-03-21,PM10 (SM2005),,,ND,0
404,1996-03-21,Particelle sospese PM2.5,,,ND,0
405,1996-03-22,Biossido di Azoto,159.61818181818185,33.0,Accettabile,3
406,1996-03-22,Biossido di Zolfo,48.74333333333333,30.0,Molto Buona,5
407,1996-03-22,Ozono,89.95882352941175,17.0,Buona,4
408,1996-03-22,PM10 (SM2005),,,ND,0
409,1996-03-22,Particelle sospese PM2.5,,,ND,0
